Site ID,Rating 5_5_22,Sport Fish Area Boundary,"Area, Region, Quad or City",Road Name,Stream Name,Prioritization,AWCStreamNo,Miles Used for Scoring,MSB Culverts to 16pc Gradient with Green culverts removed ,NHD Miles Data TO NEXT NON-GREEN CULVERT or END,Pre-2022 Miles Data to NEXT BARRIER or END,AWC Miles U/S- ,Acres of Lake,AWC SPECIES at mouth,No of Anadromous Species,Resident AFFI- Needs to be updated.,No of resident species,Red/Gray rating,Rating w/ Perch,Perch height over 1 foot,Perch,latitude,longitude,notes
20303898,Red,Kenai Peninsula,,Kenai Spur Highway,Unnamed,58,247-90-10030-2013,48.11,,48.11,,,,COr,1,,,1,2,1.25,1,60.78118,-151.081941,
20300988,Gray,Kenai Peninsula,,Sterling Highway,Anchor River North Fork ,41.5,244-10-10010-2011,137.02,,137.02,,,,"COs,Ks,Ps,DVpr,SHp",5,,,0.5,0.5,,,59.77373739,-151.8311236,
20300980,Green,Kenai Peninsula,,Kalifornsky Beach Road,Coal Creek,31.7,244-30-10050-2015,52,,52,,,,"COs,Ps,DVp",3,,,0,1,1.54,1,60.35517011,-151.2648354,
20300985,Red,Kenai Peninsula,,Nikolaevsk Road,Anchor River North Fork ,22.9,244-10-10010-2011,36.95,,36.95,,,,"COs,Ks,Ps,DVpr,SHp",5,,,1,1,,,59.80044833,-151.6365092,
20300950,Red,Kenai River Drainage,,Seward Highway,Quartz Creek,16,244-30-10010-2177,25.09,,25.09,,,,"CHsr,COp,Kp,Pp,Sp,Wp",6,,,1,1,,,60.59468129,-149.5475528,
20300997,Red,Kenai River Drainage,,Skilak Lake Road,Unnamed,14.2,244-30-10010-2145,11.09,,11.09,,,,"COs,Sp,DVp",3,,,1,2,2.38,1,60.48361123,-150.1165693,
20300961,Red,Kenai Peninsula,,Seward Highway,Lyon Creek,13.4,no awc,22.39,,22.39,,,,,,,,1,1,,,60.77885249,-149.22116,
20300989,Red,Kenai Peninsula,,Serling Highway,Two Moose Creek,13.2,244-10-10010-2021,21.08,,21.08,,,,"COsr,Ksr,DVr,SHr",4,,,1,1,,,59.75663697,-151.7827095,
20300972,Gray,Kenai River Drainage,,Kenai Spur Highway,Beaver Creek,12.6,244-30-10010-2025,41.09,,41.09,,,,"COsr,Ksr,Sr,DVr",4,,,0.5,0.5,,,60.56327004,-151.1202077,
20300949,Red,Kenai Peninsula,,Seward Highway,Fresno Creek,10.9,no awc,9.12,,9.12,,,,,,,,1,2,1.77,1,60.67025673,-149.4788081,
20300899,Red,Kenai Peninsula,,Oil Well Road,NULL,10.7,244-20-10100-2019-3018,8.39,,8.39,,,,"COp,DVr",2,,,1,2,1.95,1,59.99103618,-151.4905414,
20300951,Red,Kenai Peninsula,,Hope Highway FH 14,Bear Creek,9.5,247-60-10160,15.12,,15.12,,,,"COr,Kp,Pp",3,,,1,1,,,60.9187297,-149.6216831,
20301017,Red,Kenai Peninsula,,Sterling Highway,Diamond Creek,9.1,no awc,15.21,,15.21,,,,,,,,1,1,,,59.66914682,-151.6698977,
20301019,Gray,Kenai Peninsula,,East End Road,Fritz Creek,9.1,no awc,30.41,,30.41,,,,,,,,0.5,0.5,,,59.7085644,-151.3451784,
20300981,Red,Kenai Peninsula,,Sterling Highway,Falls Creek,8.5,no awc,14.09,,14.09,,,,,,,,1,1,,,60.19058632,-151.4296493,
