area,category,Title ,Replacement Date,Replacement Date Notes,ADFG Site #,KWF ID#,Alt ID,Ownership,Funding ,Category,latitude,longitude,Last Eval,upstream stream habitat (miles),upstream lake habitat (acres),upstream habitat notes,Salmon Species,Issue,Comments/notes
KNWR,Fed Land Transportation Program/Fed Land Access Program Funded Projects ,Swanson River Road/Rainbow Lake (FLTP),2024,,,,,USFWS,"FHWA, USFWS",red,60.717,-150.818,2018,,165,,RBT,constriction,Significant damage to culvert within road bed - culvert included as part of Fed Hwys AOP project 
KNWR,Fed Land Transportation Program/Fed Land Access Program Funded Projects ,Skilak Lake Rd/Jean Creek (FLAP),2024,,20300996,,,DOT,"FHWA, USFWS",Gray,60.48345,-150.11669,2018,11.1,,,"CO,DV,RT,",gradient,Grade break within culvert at band locaiton - culvert included as part of Federal Lands Access Program Project 
KNWR,Fed Land Transportation Program/Fed Land Access Program Funded Projects ,Upper Skilak Lake Rd/Unnamed Lower Creek (FLAP),2024,,20301003,,,DOT,"FWHA, USFWS",gray,60.45547,-150.31058,2018,0.4,25,,DV/RT,alignment/constriction,Culvert included as part of Federal Lands Access Program Project 
KNWR,Fed Land Transportation Program/Fed Land Access Program Funded Projects ,Upper Skilak Lake Rd/Lower Ohmer Creek #1 (FLAP),2024,,20301001,,,DOT,"FHWA, USFWS",red,60.44129,-150.31828,2018,0.6,118,,DV,Outfall height ,"High gradient stream, scouring underneath culvert outlet, culvert breaking apart at band location,  culvert included as part of Federal Lands Access Program Project "
KNWR,Fed Land Transportation Program/Fed Land Access Program Funded Projects ,Swan Lake Road/Sucker Creek (FLTP),2024,,20301004,,,USFWS,"FHWA, USFWS",gray,60.72488,-150.67837,2018,11.3,,,"CO, DV, ",constriction,Site includes primary and overflow culverts - heavily impacted by numerous beaver dams and debris - Culvert included as part of Fed Hwys AOP project 
KNWR,Fed Land Transportation Program/Fed Land Access Program Funded Projects ,Swan Lake Road/ Blue Gate Culvert (FLTP),2024,,,,,USFWS,"FHWA, USFWS",n/a,60.7369,-150.79382,2018,0.75,24,,"CO, DV, ",,Culvert identifed during 6/2019 Fed Hwys Swanson River/Swan Lake Rd project tour.  Identfied as priority by Fed Hwys as part of AOP project. 
KNWR,,Mystery Creek Road MCR-02,2023,,na,,MCR-02,USFWS,"FHWA, USFWS",red,60.62217,-150.28584,2022,2.5,,+,,Outfall height ,Design underway by PND (Anchorage) 
KNWR,Fed Land Transportation Program funded - concept design only ,Mystery Creek  Pipeline Road MCPR 01,TBD,,na,,MCPR 01,USFWS,"FHWA, USFWS",ford ,60.659822,-150.254375,2022,TBD,,,TBD,stream ford,Conceptual level design underway by PND 
KNWR,Fed Land Transportation Program funded - concept design only ,Mystery Creek Pipeline Road MCPR 02,TBD,,na,,MCPR 02,USFWS,"FHWA, USFWS",ford ,60.659752,-150.254356,2022,TBD,,,TBD,stream ford,Conceptual level design underway by PND 
KNWR,Fed Land Transportation Program funded - concept design only ,Mystery Creek  Pipeline Road MCPR 04,TBD,,na,,MCPR 04,USFWS,"FHWA, USFWS",ford ,60.71009,-150.154515,2022,TBD,,,TBD,stream ford,Conceptual level design underway by PND 
KNWR,Fed Land Transportation Program funded - concept design only ,Mystery Creek  Pipeline Road MCPR 05,TBD,,na,,MCPR 05,USFWS,"FHWA, USFWS",ford ,60.713441,-150.147863,2022,TBD,,,TBD,stream ford,Conceptual level design underway by PND 
KNWR,Fed Land Transportation Program funded - concept design only ,Mystery Creek  Pipeline Road MCPR 06,TBD,, ,,MCPR 06,USFWS,"FHWA, USFWS",ford ,60.730057,-150.097637,2022,TBD,,,TBD,stream ford,Conceptual level design underway by PND 
KNWR,Fed Land Transportation Program funded - concept design only ,Mystery Creek  Pipeline Road MCPR 07,TBD,,na,,MCPR 07,USFWS,"FHWA, USFWS",ford ,60.747804,-150.077673,2022,TBD,,,TBD,stream ford,Conceptual level design underway by PND 
KNWR,Fed Land Transportation Program funded - concept design only ,Mystery Creek  Pipeline Road MCPR 08,TBD,,na,,MCPR 08,USFWS,"FHWA, USFWS",ford ,60.768495,-150.054673,2022,TBD,,,TBD,stream ford,Conceptual level design underway by PND 
KNWR,Swanson River Oilfield Projects - Funded by Hilcorp,Hilcorp - Swanson River Oilfield Crossing ADFG 02,2023,,,,ADFG 02,USFWS,Hilcorp,red,60.76089,-150.85655,2020,0.3,,,"CO,DV",Outfall height ,Design underway (50% on 11/18) with intent to construct in 2023
KNWR,Swanson River Oilfield Projects - Funded by Hilcorp,Hilcorp - Swanson River Oilfield Crossing ADFG 01,2023,,,,ADFG 01,USFWS,Hilcorp,red,60.73512,-150.86339,2020,0.4,60,,"CO,DV",Constriction,
KNWR,Swanson River Oilfield Projects - Funded by Hilcorp,Hilcorp - Swanson River Oilfield Crossing SRO-01,2024,,,,SRO - 01,USFWS,Hilcorp,red,60.754246,-150.854279,2020,1.3,,,"CO,DV",Constriction,Design has been complicated by gas pipeline under the roadway.  USFWS is recommending a bridge. 
